day,numberOfTransactions,volumeOfTransactions
2022-05-01,45846,4679284029601148
2022-05-02,55592,10940858904106300
2022-05-03,50573,8499873861345846
2022-05-04,56570,10318243818561770
2022-05-05,88886,10554443293603695
2022-05-06,61536,11161804293760844
2022-05-07,50648,7207145298361632
2022-05-08,72509,13253114615070347
2022-05-09,104090,24811201686137574
2022-05-10,102587,19950207453414236
2022-05-11,132938,32081278478011234
2022-05-12,156080,43021260994812308
2022-05-13,104250,24265804932486969
2022-05-14,75986,12061060884426996
2022-05-15,68826,8005609339799988
2022-05-16,79274,21009495385034552
2022-05-17,66686,13200386642761057
2022-05-18,74025,15753789968531647
2022-05-19,68987,18110576335890894
2022-05-20,60447,15687215564480072
2022-05-21,44922,7400822926372763
2022-05-22,48500,5255600379577786
2022-05-23,69513,17792086041060788
2022-05-24,60782,13527327475905687
2022-05-25,54393,11984830567395942
2022-05-26,65899,13611105079586277
2022-05-27,72937,13221019631840917
2022-05-28,51211,5531471464475137
2022-05-29,45217,2947202292096644
2022-05-30,61295,13579415617240483
2022-05-31,62865,9647389648430140
