day,numberOfTransactions,volumeOfTransactions
2022-05-01,1115,113695523086311738440032766
2022-05-02,1438,140117137136496656600699668
2022-05-03,1626,191166704056672555226709080
2022-05-04,1648,138493433358079175684753835
2022-05-05,1404,161469457753836535732843509
2022-05-06,1482,111218838345659595347244661
2022-05-07,2430,520334440595201621491702081
2022-05-08,3116,955177174104897515887191167
2022-05-09,7929,1950736613831014798998613478
2022-05-10,17760,3815003085974691821122444957
2022-05-11,18864,2391867784571221910024628868
2022-05-12,12135,786557766900335403839384139
2022-05-13,7475,414424078730582316080809841
2022-05-14,3473,309482841921522117915789621
2022-05-15,3345,185672912059728673239011476
2022-05-16,3053,176797493811796476752416674
2022-05-17,1191,35701478206482204656011899
2022-05-18,1393,35456968935545733582735783
2022-05-19,1031,57425942600916521612956457
2022-05-20,870,121758695620307350923756515
2022-05-21,826,198806551970257626467116453
2022-05-22,764,15048048866513503197671053
2022-05-23,1079,73885853473631063031497917
2022-05-24,1300,52098176163279169570464700
2022-05-25,1841,193681574975144472945794104
2022-05-26,7755,538437390555940435009599642
2022-05-27,2602,274744732811038640653419001
2022-05-28,2302,51370010775776905877957359
2022-05-29,940,13949734115846737046164741
2022-05-30,1107,283997137312967734414845695
2022-05-31,894,32065907886913392709647278
